,Ordinal Tag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,Array_0,8,8,3,3,3,4,5,2,4,4,2,3,6,6,13,2,6,1,6,2,4,5,5,3,6,4,2,4,3,6,5,3,3,4,4,4,0,6,2,8,3,5,9,6,0,4,3,9,2,6,5,2,10,15,9,13,1,3,2,1,10,13,0,7,16,7,7,0,11,4,9,14,8,16,0,5,2,13,5,6,8,3,2,7,1,10,10,1,8,8,0,4,4,0,0,0,3,9,20,9
1,Array_0,11,5,4,1,2,5,3,2,3,3,3,6,7,9,6,0,5,0,4,5,5,7,3,4,5,4,7,5,6,6,6,2,1,4,3,6,4,2,1,8,1,0,7,8,1,7,4,8,7,4,2,1,15,8,10,9,1,3,0,1,8,12,0,13,16,10,4,0,10,3,13,14,10,17,0,10,1,14,8,10,7,7,4,8,5,0,12,0,13,7,0,5,1,2,1,2,6,2,27,6
2,Array_0,5,8,2,0,1,8,4,5,2,5,4,6,7,6,10,5,5,0,7,8,8,5,3,1,5,2,7,1,3,9,7,3,6,6,5,6,4,8,5,4,1,7,4,6,2,1,2,5,0,2,4,7,16,16,11,14,1,6,1,1,17,14,0,11,16,3,4,0,16,6,11,14,5,13,0,7,0,13,5,4,8,4,8,6,0,8,13,0,15,8,0,3,3,3,0,1,4,5,11,10
3,Array_0,3,6,4,2,3,3,3,4,7,7,1,7,10,8,3,1,4,1,3,4,4,4,5,4,9,2,4,3,5,5,8,2,5,10,5,2,0,6,0,5,2,2,5,7,1,1,3,5,1,4,6,6,12,11,18,15,1,5,3,5,11,9,0,7,7,9,6,0,12,4,14,8,11,16,0,6,1,14,5,5,6,4,7,6,1,8,15,1,7,9,1,5,5,0,1,3,6,3,13,5
4,Array_0,7,5,2,4,4,7,2,5,6,1,3,10,4,6,10,3,6,0,2,7,7,8,5,6,6,6,3,5,4,6,12,2,3,2,8,3,1,3,6,5,4,6,5,4,2,3,2,5,2,1,1,8,15,8,9,13,2,6,3,3,10,14,0,12,19,2,6,0,10,2,10,8,8,9,0,7,0,18,4,4,8,6,4,11,0,6,6,0,9,4,0,5,2,2,1,1,1,4,22,10
5,Array_0,4,6,4,0,2,3,7,6,3,7,3,3,9,3,10,3,9,0,2,2,5,7,4,2,8,4,5,5,2,5,6,3,2,4,2,5,3,7,4,7,5,4,7,2,2,6,2,6,1,6,3,3,9,7,16,14,1,3,1,5,11,16,0,12,10,7,9,0,11,4,11,14,4,11,0,9,2,21,12,12,4,8,11,4,0,6,10,0,8,2,1,4,2,0,0,1,3,10,15,6
6,Array_0,4,5,3,2,3,1,4,2,2,4,1,3,1,11,5,3,5,0,5,5,6,7,1,3,8,5,10,3,7,3,10,2,5,4,3,4,2,3,3,4,1,5,4,3,2,0,5,8,2,3,6,2,14,10,15,8,2,4,1,4,6,13,0,12,15,4,5,0,7,6,8,15,11,10,1,8,0,9,5,6,7,4,6,6,2,8,12,0,7,8,0,8,3,1,0,2,3,3,16,11
7,Array_0,2,7,4,3,4,6,4,7,8,3,3,5,6,8,4,4,4,0,3,2,7,4,4,5,6,3,5,7,5,7,7,3,2,12,1,2,3,3,4,6,4,3,4,4,1,4,5,3,2,8,3,4,20,11,11,7,1,4,1,3,11,7,0,13,14,4,5,0,7,2,8,10,7,12,0,10,0,18,10,4,9,9,5,6,2,8,10,1,12,4,0,3,4,2,2,0,3,2,15,6
8,Array_0,7,7,2,2,3,4,10,4,7,1,4,6,9,6,9,1,7,0,2,8,1,5,1,2,6,5,4,2,5,4,4,2,3,2,4,7,1,2,6,5,3,4,8,1,3,4,1,7,2,7,5,9,7,6,14,8,2,11,0,6,11,11,0,8,11,6,11,0,6,3,8,13,10,7,0,6,0,24,9,5,12,4,8,12,0,5,13,0,12,5,1,6,8,1,0,1,2,4,11,4
9,Array_0,7,10,4,4,2,5,5,3,2,5,7,5,5,3,7,3,6,0,4,5,5,12,4,2,6,2,6,5,2,1,7,2,3,7,2,6,2,3,3,3,6,1,6,5,1,0,3,6,1,5,1,4,14,13,12,9,1,2,3,2,12,13,1,15,14,3,8,0,6,7,13,14,6,11,0,5,0,17,9,2,7,2,6,6,0,5,12,0,17,6,2,2,2,1,1,0,7,4,16,10
